JobID,SubmitTime,WaitTime,RunTime ,NProcs,AverageCPUTimeUsed,Used Memory,ReqNProcs,ReqTime: ,ReqMemory,Status,UserID,GroupID,ExecutableID,QueueID,PartitionID,OrigSiteID,LastRunSiteID,JobStructure,JobStructureParams,UsedNetwork,UsedLocalDiskSpace,UsedResources,ReqPlatform,ReqNetwork,ReqLocalDiskSpace,ReqResources,VOID,ProjectID
1,1136070024,203761,138467,1,138371,98652,1,259200,-1,1,U2004S1,G3,X1,Q5,1,clrlcgce02,clrlcgce02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1136070690,0,11,1,4,35848,1,259200,-1,1,U1023S0,G1,X1,Q1,1,clrlcgce01,clrlcgce01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,1136071207,117,201203,1,0,0,1,259200,-1,1,U2035S1,G6,X1,Q2,1,clrlcgce02,clrlcgce02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1136071267,4406,196985,1,0,0,1,259200,-1,1,U2035S1,G6,X1,Q2,1,clrlcgce02,clrlcgce02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,1136071269,202516,19520,1,18731,522268,1,259200,-1,1,U2035S1,G6,X1,Q2,1,clrlcgce02,clrlcgce02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,1136072890,1,46,1,3,49216,1,900,-1,1,U1018S0,G1,X1,Q2,1,clrlcgce01,clrlcgce01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,1136074263,2629516,21,1,0,35712,1,5400,-1,1,U5005S3,G1,X1,Q5,1,iut15,iut15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,1136074695,1,197831,1,0,0,1,259200,-1,1,U1033S0,G6,X1,Q4,1,clrlcgce01,clrlcgce01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,1136074754,2,197682,1,0,0,1,259200,-1,1,U1033S0,G6,X1,Q4,1,clrlcgce01,clrlcgce01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,1136074756,2,197552,1,0,0,1,259200,-1,1,U1033S0,G6,X1,Q4,1,clrlcgce01,clrlcgce01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
